base_id,place,latitude,longitude,poi_Transportation Facilities,poi_Leisure & Entertainment,poi_Companies & Enterprises,poi_Healthcare,poi_Commercial & Residential,poi_Tourist Attractions,poi_Automotive,poi_Life Services,poi_Science & Education & Culture,poi_Shopping & Consumer Goods,poi_Sports & Fitness,poi_Hotels & Accommodations,poi_Financial Institutions,poi_Dining & Cuisine
28294,新建昌九28km,28.908273,115.828981,1,0,1,0,0,0,0,0,0,0,0,1,0,0
28295,临空区坛山西路与竹埠四路交界景观塔,28.831897,115.92076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28296,临空区坛山西路与竹埠四路交界景观塔,28.831897,115.92076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28297,临空区坛山西路与竹埠四路交界景观塔,28.831897,115.92076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28298,南昌欣旺达新能源有限公司二期,28.839902,115.9616,1,0,2,0,0,0,0,0,0,0,0,0,0,15
28299,港隆路工业园区宿舍indr,28.837527,115.956872,0,0,1,0,2,0,0,1,0,0,0,1,0,0
28300,港隆路工业园区宿舍indr,28.837595,115.95798,0,0,2,0,1,0,1,0,0,1,0,1,0,0
28301,港隆路工业园区宿舍indr,28.8373,115.95742,0,0,3,0,1,0,0,1,0,1,0,1,0,0
28302,港隆路工业园区宿舍indr,28.837375,115.958255,0,0,4,0,1,0,1,0,0,1,0,1,0,1
28303,港隆路工业园区宿舍indr,28.83736,115.957352,0,0,3,0,1,0,0,1,0,1,0,1,0,0
28304,港隆路工业园区宿舍indr,28.837457,115.956982,0,0,2,0,2,0,0,1,0,0,0,1,0,0
28305,港隆路工业园区宿舍indr,28.83804,115.957253,0,0,1,0,1,0,0,1,0,0,0,1,0,0
28306,南昌欣旺达新能源有限公司二期,28.839872,115.961607,1,0,2,0,0,0,0,0,0,0,0,0,0,15
28307,临空区坛山东路杨家湖收费站景观塔,28.831755,115.94228,2,0,0,0,0,0,0,2,0,0,0,0,0,0
28308,临空区坛山东路杨家湖收费站景观塔,28.831755,115.94228,2,0,0,0,0,0,0,2,0,0,0,0,0,0
28309,临空区坛山东路杨家湖收费站景观塔,28.831755,115.94228,2,0,0,0,0,0,0,2,0,0,0,0,0,0
28310,南昌欣旺达新能源有限公司二期,28.839872,115.961607,1,0,2,0,0,0,0,0,0,0,0,0,0,15
28311,港隆路工业园区宿舍indr,28.837468,115.956955,0,0,2,0,2,0,0,1,0,0,0,1,0,0
28312,港隆路工业园区宿舍indr,28.837935,115.95739,0,0,2,0,1,0,0,1,0,0,0,1,0,0
28313,南昌欣旺达新能源有限公司二期,28.83987,115.961585,1,0,2,0,0,0,0,0,0,0,0,0,0,15
28314,南昌欣旺达新能源有限公司二期,28.83987,115.961585,1,0,2,0,0,0,0,0,0,0,0,0,0,15
28315,港隆路工业园区宿舍indr,28.837527,115.956872,0,0,1,0,2,0,0,1,0,0,0,1,0,0
28316,港隆路工业园区宿舍indr,28.837755,115.957902,0,0,2,0,1,0,0,0,0,1,0,1,0,0
28317,南昌欣旺达新能源有限公司二期,28.839902,115.9616,1,0,2,0,0,0,0,0,0,0,0,0,0,15
28318,昌北机场T2航站楼LampsiteA,28.864877,115.910481,3,0,1,1,0,0,1,3,0,13,0,0,2,7
28319,昌北机场T2航站楼LampsiteA,28.864877,115.910481,3,0,1,1,0,0,1,3,0,13,0,0,2,7
28320,昌北机场T2航站楼LampsiteA,28.864877,115.910481,3,0,1,1,0,0,1,3,0,13,0,0,2,7
28321,昌北机场T2航站楼LampsiteA(昌北机场T2航站楼),28.861358,115.910925,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28322,昌北机场T2航站楼LampsiteA(昌北机场T2航站楼),28.861358,115.910925,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28323,昌北机场T2航站楼LampsiteA,28.864877,115.910481,3,0,1,1,0,0,1,3,0,13,0,0,2,7
28324,昌北机场T2航站楼LampsiteA,28.864877,115.910481,3,0,1,1,0,0,1,3,0,13,0,0,2,7
28325,昌北机场T2航站楼LampsiteA,28.864877,115.910481,3,0,1,1,0,0,1,3,0,13,0,0,2,7
28326,昌北机场T2航站楼LampsiteA(昌北机场T2航站楼),28.861358,115.910925,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28327,昌北机场T2航站楼LampsiteA(昌北机场T2航站楼),28.861358,115.910925,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28328,昌北机场T2航站楼LampsiteA(昌北机场T2航站楼),28.861358,115.910925,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28329,昌北机场T2航站楼LampsiteA(昌北机场T2航站楼),28.861358,115.910925,16,0,1,1,0,0,4,5,0,12,0,0,2,7
