region_id,lon_center,lat_center,Transportation Facilities,Leisure & Entertainment,Companies & Enterprises,Healthcare,Commercial & Residential,Tourist Attractions,Automotive,Life Services,Science & Education & Culture,Shopping & Consumer Goods,Sports & Fitness,Hotels & Accommodations,Financial Institutions,Dining & Cuisine
147,121.33067274343749,30.996659753750002,0.0769,0.00962,0.337,0.0385,0.00962,0.0192,0,0.154,0.00962,0.202,0.00962,0,0,0.135
148,121.37032289756249,30.996659753750002,0.062,0.0108,0.222,0.00809,0.0539,0.00404,0.0256,0.185,0.0337,0.171,0.0027,0.027,0.00674,0.187
149,121.40997305168749,30.996659753750002,0.0482,0.0203,0.0422,0.0384,0.0389,0.00432,0.0195,0.19,0.0435,0.308,0.0162,0.021,0.0145,0.195
150,121.4496232058125,30.996659753750002,0.0692,0.00629,0.223,0.022,0.044,0,0.0472,0.192,0.0252,0.277,0.00314,0.00943,0,0.0818
151,121.4892733599375,30.996659753750002,0.0567,0.011,0.0945,0.0142,0.0425,0.00315,0.0189,0.157,0.022,0.329,0.00787,0.0205,0.0142,0.208
152,121.5289235140625,30.996659753750002,0.191,0,0.459,0,0.0255,0.0127,0.0446,0.0637,0,0.166,0,0,0,0.0382
153,121.5685736681875,30.996659753750002,0.0318,0.0303,0.0545,0.0227,0.0333,0,0.0197,0.175,0.0303,0.377,0.00756,0.00908,0.00756,0.201
154,121.6082238223125,30.996659753750002,0.0845,0.0282,0.563,0,0.0563,0.0141,0.0423,0.0704,0,0.141,0,0,0,0
155,121.6478739764375,30.996659753750002,0.0747,0.0193,0.21,0.00723,0.00964,0.00482,0.0289,0.0554,0.00723,0.443,0.00964,0.0193,0.00723,0.104
156,121.6875241305625,30.996659753750002,0,0,0.273,0,0,0.182,0.182,0.182,0,0.0909,0,0,0,0.0909
157,121.7271742846875,30.996659753750002,0.194,0,0.29,0,0,0.0323,0.0323,0.0323,0,0.29,0.0323,0.0323,0,0.0645
158,121.76682443881249,30.996659753750002,0.0909,0.00758,0.227,0.0152,0,0,0.0833,0.121,0.00758,0.386,0.00758,0.0152,0,0.0379
159,121.80647459293749,30.996659753750002,0.0244,0,0.512,0,0.0244,0,0.0488,0.0976,0,0.22,0,0.0244,0,0.0488
160,121.0531216645625,31.03160276225,0.0679,0.0189,0.0453,0.0226,0.0189,0.00377,0.0453,0.17,0.0226,0.328,0.00377,0.0226,0,0.23
161,121.0927718186875,31.03160276225,0.13,0.0652,0.0435,0,0.0217,0.0435,0.0435,0.13,0.0217,0.0435,0.087,0.152,0.0217,0.196
162,121.1324219728125,31.03160276225,0.0295,0.0211,0.122,0.0169,0.0422,0.00844,0.0127,0.173,0.0127,0.278,0,0.0127,0.00422,0.266
163,121.1720721269375,31.03160276225,0.0723,0.012,0.0578,0.0386,0.0494,0.00241,0.0482,0.177,0.0675,0.239,0.0373,0.0241,0.0012,0.173
164,121.21172228106249,31.03160276225,0.0876,0.0358,0.0504,0.0333,0.029,0.00329,0.0241,0.156,0.0698,0.216,0.0261,0.0332,0.0278,0.208
165,121.25137243518749,31.03160276225,0.0733,0.0099,0.163,0.0261,0.0509,0.00162,0.0913,0.13,0.045,0.222,0.0107,0.0254,0.0113,0.139
166,121.29102258931249,31.03160276225,0.0622,0.011,0.251,0.0132,0.0406,0.000441,0.0225,0.112,0.0137,0.174,0.00617,0.0344,0.00529,0.254
167,121.33067274343749,31.03160276225,0.0767,0.011,0.312,0.0192,0.112,0.00274,0.0137,0.104,0.0164,0.126,0.00274,0.011,0.00548,0.186
168,121.37032289756249,31.03160276225,0.0843,0.00759,0.121,0.0211,0.0489,0.00843,0.0658,0.221,0.0253,0.202,0.0388,0.00506,0.0152,0.136
169,121.40997305168749,31.03160276225,0.0624,0.0193,0.0901,0.0272,0.034,0.00357,0.0506,0.158,0.0478,0.232,0.0157,0.0154,0.0102,0.233
170,121.4496232058125,31.03160276225,0.094,0.0115,0.117,0.0286,0.0274,0.00328,0.0213,0.12,0.128,0.207,0.0194,0.018,0.0173,0.188
171,121.4892733599375,31.03160276225,0.0495,0.0177,0.0318,0,0.0212,0.0247,0.0813,0.0883,0.0565,0.456,0.0141,0,0.00353,0.155
172,121.5289235140625,31.03160276225,0.0758,0.0187,0.0989,0.0264,0.0429,0,0.0505,0.19,0.0385,0.258,0.00989,0.00989,0.00769,0.173
173,121.5685736681875,31.03160276225,0.0955,0.00716,0.105,0.00955,0.0501,0.00239,0.0811,0.153,0.0621,0.296,0.0215,0.00955,0.00239,0.105
174,121.6082238223125,31.03160276225,0.0406,0.0132,0.159,0.035,0.0195,0.000752,0.0474,0.154,0.0485,0.283,0.0143,0.0162,0.0165,0.152
175,121.6478739764375,31.03160276225,0.0445,0.0138,0.0896,0.0312,0.0266,0.0195,0.0302,0.169,0.0635,0.251,0.0164,0.021,0.0123,0.211
176,121.6875241305625,31.03160276225,0.0356,0.0178,0.324,0,0.0222,0,0.0978,0.0978,0.0489,0.213,0.0178,0.0711,0.00889,0.0444
177,121.7271742846875,31.03160276225,0.0712,0.0152,0.159,0.0271,0.0423,0.000362,0.1,0.143,0.047,0.189,0.0101,0.0423,0.021,0.132
178,121.76682443881249,31.03160276225,0.0497,0.0112,0.0722,0.0327,0.0348,0.00262,0.0283,0.163,0.056,0.382,0.00732,0.0194,0.0154,0.125
179,121.80647459293749,31.03160276225,0.667,0,0.333,0,0,0,0,0,0,0,0,0,0,0
180,121.0531216645625,31.06654577075,0.0441,0.011,0.128,0.022,0.0331,0,0.0346,0.164,0.0189,0.299,0,0.0142,0.0063,0.225
181,121.0927718186875,31.06654577075,0.118,0,0.235,0,0.0588,0,0.0588,0.0588,0,0.412,0.0588,0,0,0
182,121.1324219728125,31.06654577075,0.056,0,0.28,0.008,0.032,0,0.04,0.144,0.008,0.184,0.016,0.032,0.008,0.192
183,121.1720721269375,31.06654577075,0.107,0.0142,0.243,0.0101,0.087,0.0223,0.00607,0.081,0.083,0.087,0.0283,0.0142,0.0081,0.209
184,121.21172228106249,31.06654577075,0.0945,0.016,0.0247,0.0215,0.021,0.00399,0.00698,0.164,0.144,0.19,0.0464,0.0279,0.00973,0.229
185,121.25137243518749,31.06654577075,0.0334,0.0318,0.0447,0.0198,0.0124,0.00126,0.0258,0.171,0.0618,0.328,0.0288,0.0349,0.0101,0.196
186,121.29102258931249,31.06654577075,0.0485,0.019,0.115,0.0114,0.0495,0.000951,0.0618,0.115,0.0285,0.241,0.00476,0.0609,0.0114,0.232
187,121.33067274343749,31.06654577075,0.0473,0.00506,0.117,0.035,0.0354,0.00169,0.0203,0.176,0.0262,0.283,0.00928,0.0215,0.0139,0.208
188,121.37032289756249,31.06654577075,0.0982,0.00414,0.283,0.0183,0.0598,0.00118,0.0509,0.126,0.0586,0.147,0.0189,0.0237,0.0136,0.0959
189,121.40997305168749,31.06654577075,0.0685,0.0133,0.154,0.0237,0.0468,0.0026,0.0618,0.144,0.0465,0.241,0.0159,0.0159,0.0118,0.154
190,121.4496232058125,31.06654577075,0.0651,0.00686,0.254,0.00686,0.0269,0.00441,0.289,0.093,0.0255,0.116,0.0186,0.0196,0.00196,0.0725
191,121.4892733599375,31.06654577075,0.114,0.0128,0.0515,0.0383,0.0378,0.0152,0.0407,0.167,0.0545,0.286,0.0245,0.0241,0.0054,0.128
192,121.5289235140625,31.06654577075,0.0816,0.0198,0.194,0.0184,0.0533,0.00178,0.063,0.102,0.0307,0.139,0.0143,0.0232,0.00891,0.251
